comfort_food,comfort_food_reasons,comfort_food_category
none,we dont have comfort,other
chocolate chips ice cream,stress bored anger,other
frozen yogurt pizza fast food,stress sadness,other
pizza mac and cheese ice cream,boredom,other
ice cream chocolate chips,stress boredom cravings,other
candy brownies and soda,none i dont eat comfort food i just eat when im hungry,other
chocolate ice cream french fries pretzels,stress boredom,other
ice cream cheeseburgers chips,i eat comfort food when im stressed out from schoolfinals week when im sad or when i am dealing with personal family issues,other
donuts ice cream chips,boredom,other
mac and cheese chocolate and pasta,stress anger and sadness,other
pasta grandma homemade chocolate cake anything homemade,boredom,other
chocolate pasta soup chips popcorn,sadness stress cold weather,other
cookies popcorn and chips,sadness boredom late night snack,other
ice cream cake chocolate,stress  boredom special occasions,other
pizza fruit spaghetti chicken and potatoes,friends environment and boredom,other
cookies donuts candy bars,boredom,other
saltfish candy and kit kat,stress,other
chips cookies ice cream,i usually only eat comfort food when im bored if i am doing something i can go for hours without eating,other
chocolate ice crea,sadness stress,other
pizza wings chinese,boredom sadness hungry,other
fast food pizza subs,happiness satisfaction,other
chocolate sweets ice cream,mostly boredom,other
burgers chips cookies,sadness depression,other
chilli soup pot pie,stress and boredom,other
soup pasta brownies cake,a long day not feeling well winter,other
chocolate ice creammilkshake cookies,boredom,other
chips ice cream microwaveable foods,boredom lazyniss,other
chicken fingers pizza,boredom,other
cookies hot chocolate beef jerky,survival bored,other
tomato soup pizza fritos meatball sub dr pepper,boredom anger drunkeness,other
cookies macncheese brownies french fries,stress boredom cold weather,other
chips and dip pepsi,stres boredom and nighttime,other
grandmas chinese peruvian food from back home and sushi,hunger and boredom,other
ice cream cookies  chinese food and chicken nuggets,boredom sadness and if it has a good taste,other
french fries chips ice cream,boredom stressed sad,other
mac n cheese peanut butter and banana sandwich omelet,boredom usually,other
pizza doughnuts mcdonalds,boredom,other
chocolate chips candy,stress,other
chocolate popcorn ice cream,boredom stress,other
candypopchocolate chipotle moes,no reasons,other
pizza ice cream fries cereal cookies,usually if im sad or depressed,other
ice cream chocolate twizzlers,tired,other
ice cream cookie dough cookies cheese,boredom sadness,other
ice cream cereal and salt and vinegar chips,all of the above sadness boredom and confusion,other
potato chips ice cream chocolate cookies,stress boredom craving,other
mac and cheese fried chicken cornbread,hunger boredom,other
popcorn chips candy  fries,sadness boredom  anger,other
chexmix wegmans cookies cheezits,boredom happiness distraught,other
pizza ice cream chips,stressed upset or just craving a cheat meal,other
fried chicken mashed potatoes mac and cheese,they taste better than other food they are a pickme up they are easy to make,other
popcorn chex mix pizza,stress boredom,other
burger,lazy,other
pizza chocolate and ice cream,boredom sadness and anger,other
fries chips fried chicken pizza grapes,boredom sadness,other
peanut butter sandwich pretzals garlic bread,stress anger and boredom,other
chips dip fries pizza,bored stress,other
pizza ice cream chicken wings,i usually only eat comfort foods when i am bored i will also eat them when i am happy to celebrate and then when i am sad to comfort me,other
pizza chocolate chips bagels ice capps,just cause,other
chocolate ice cream pasta,stress boredom sadness,other
mac n cheese chips and salsa ice cream,boredom celebration,other
peanut butter dessets pretzels,sadness boredom lonely,other
macaroons truffles peanut butter n chocolate ice cream,i do not really eat comfort food but i guess sadness special occasions and anxiety,other
ice cream cookies ice cream,boredom sadness,other
carrots and ranch pretzels dark chocolate,sadness,other
cookies nutella ice cream coffee fruit,bordem happiness sadness,other
mac and cheese,boredom,other
chocolate popcorn icecream,sadness,other
ice cream cake mozzarella sticks pierogies,boredom,other
chips mac and cheese pizza french fries,stress sadness bored,other
pizza burritos slim jims,boredom stress and it tastes good,other
broccoli spaghetti squash quinoa and grilled chicken,bad day bored sadness,other
chocolate ice cream cookie dough,boredom being in your period and long bus rides for softball,other
pizza pretzels fruit snacks deli sandwhich,boredom anger happy,other
chips ice cream,boredom stress,other
unknown,unknown,other
mac and cheese potato soup ice cream chips and cheese,sadness stressed boredom,other
chocolate pizza and mashed potatoes,boredom and stress,other
pizza cookies steak,boredom comfort hunger,other
chocolate fruit and ice cream,stress boredom,other
chips sweets popcorn,boredom,other
cookies burgers chicken noodle soup ice cream,happiness hunger sadness,other
cake french fries chicken nuggets,boredom sadness,other
pizza ice cream cookies,boredom,other
mashed potatoes pasta,boredom sadness or with friends,other
pasta dishes cheesecake pancakes,sadness loneliness boredom,other
ice cream pizza cookies,mostly stress,other
chinese food moes sponge candy homemade lasagne,boredom sadness,other
pizza pasta mac and cheese,when i am sad or craving,other
little debbie snacks donuts pizza,unknown,other
carrots plantain chips almonds popcorn,stress boredom college as whole,other
chips ice cream fruit snacks,boredom,other
macaroni and cheese chicken noodle soup pizza,boredom and stress,other
chocolate chips ice cream french fires pizza,stress sadness boredom,other
mac and cheese lasagna chinese food,boredom sadness,other
candy chinese mcdonalds,laziness and hungover,other
doritos mac and cheese ice cream,boredom hunger snacking,other
ice cream cake pop pizza and milkshakes,happiness sadness celebration,other
mac and cheese pizza ice cream and french fries,boredom anger and just being hungry in general,other
soup pasta cake,depression comfort accessibility,other
mac  cheese frosted brownies chicken nuggs,they are yummy my boyfriend sometimes makes me sad boredom,other
watermelon grapes ice cream,sad bored excited,other
macaroni and cheese stuffed peppers hamburgers french fries,boredom stress mood swings,other
pizza mashed potatoes spaghetti,anger sadness,other
dark chocolate terra chips reeses cupsdark chocolate and breadcrackers with cottage cheese,anxiousness watching tv i desire comfort food,other
chips chocolate mozzarella sticks,boredom sadness anxiety,other
ice cream chips candy,boredom laziness anger,other
pizza soda chocolate brownie chicken tikka masala and butter naan,stress and sadness,other
chocolate pasta cookies,i am always stressed out and bored when i am in my apartment,other
candy salty snacks toast,stress sadness boredom,other
mac in cheese pizza mozzarella sticks,stress frustration selfconsciousness,other
icecream pizza chocolate,sadness and cravings,other
snacks chips,boredom,other
chocolate ice cream pizza,sadness happiness and boredom,other
ice cream pizza chinese food,boredom and sadness,other
