Emotion Cluster,Food
comfort,none
comfort,candy
comfort,brownies
comfort,and
comfort,soda
comfort,ice
comfort,cream
comfort,cheeseburgers
comfort,chips
comfort,cookies
comfort,fast
comfort,food
comfort,pizza
comfort,subs
comfort,chexmix
comfort,wegmans
comfort,cheezits
comfort,chicken
comfort,wings
comfort,macaroons
comfort,truffles
comfort,peanut
comfort,butter
comfort,n
comfort,chocolate
comfort,nutella
comfort,coffee
comfort,fruit
comfort,steak
comfort,burgers
comfort,noodle
comfort,soup
comfort,cake
comfort,pop
comfort,milkshakes
comfort,pasta
comfort,dark
comfort,terra
comfort,reeses
comfort,cupsdark
comfort,breadcrackers
comfort,with
comfort,cottage
comfort,cheese
comfort,indian
comfort,korean
comfort,rice
comfort,curry
comfort,mac
comfort,lasagna
stress,chocolate
stress,chips
stress,ice
stress,cream
stress,frozen
stress,yogurt
stress,pizza
stress,fast
stress,food
stress,french
stress,fries
stress,pretzels
stress,cheeseburgers
stress,mac
stress,cheese
stress,pasta
stress,soup
stress,popcorn
stress,cake
stress,saltfish
stress,candy
stress,kit
stress,kat
stress,crea
stress,chilli
stress,pot
stress,pie
stress,cookies
stress,macncheese
stress,brownies
stress,potato
stress,chex
stress,mix
stress,peanut
stress,butter
stress,sandwich
stress,pretzals
stress,garlic
stress,bread
stress,dip
stress,burritos
stress,slim
stress,jims
stress,mashed
stress,potatoes
stress,fruit
stress,carrots
stress,plantain
stress,almonds
stress,macaroni
stress,chicken
stress,noodle
stress,fires
stress,stuffed
stress,peppers
stress,hamburgers
stress,soda
stress,brownie
stress,tikka
stress,masala
stress,naan
stress,salty
stress,snacks
stress,toast
stress,in
stress,mozzarella
stress,sticks
stress,bar
stress,protein
stress,bars
stress,chinese
boredom,chocolate
boredom,chips
boredom,ice
boredom,cream
boredom,pizza
boredom,mac
boredom,and
boredom,cheese
boredom,french
boredom,fries
boredom,pretzels
boredom,donuts
boredom,pasta
boredom,grandma
boredom,homemade
boredom,cake
boredom,anything
boredom,cookies
boredom,popcorn
boredom,fruit
boredom,spaghetti
boredom,chicken
boredom,potatoes
boredom,candy
boredom,bars
boredom,wings
boredom,chinese
boredom,sweets
boredom,chilli
boredom,soup
boredom,pot
boredom,pie
boredom,creammilkshake
boredom,microwaveable
boredom,foods
boredom,fingers
boredom,hot
boredom,beef
boredom,jerky
boredom,tomato
boredom,fritos
boredom,meatball
boredom,sub
boredom,dr
boredom,pepper
boredom,macncheese
boredom,brownies
boredom,dip
boredom,pepsi
boredom,grandmas
boredom,peruvian
boredom,food
boredom,from
boredom,back
boredom,home
boredom,sushi
boredom,nuggets
boredom,n
boredom,peanut
boredom,butter
boredom,banana
boredom,sandwich
boredom,omelet
boredom,doughnuts
boredom,mcdonalds
boredom,cookie
boredom,dough
boredom,cereal
boredom,salt
boredom,vinegar
boredom,potato
boredom,fried
boredom,cornbread
boredom,chexmix
boredom,wegmans
boredom,cheezits
boredom,chex
boredom,mix
boredom,grapes
boredom,pretzals
boredom,garlic
boredom,bread
boredom,salsa
boredom,dessets
boredom,mozzarella
boredom,sticks
boredom,pierogies
boredom,burritos
boredom,slim
boredom,jims
boredom,broccoli
boredom,squash
boredom,quinoa
boredom,grilled
boredom,snacks
boredom,deli
boredom,sandwhich
boredom,mashed
boredom,steak
boredom,dishes
boredom,cheesecake
boredom,pancakes
boredom,moes
boredom,sponge
boredom,lasagne
boredom,carrots
boredom,plantain
boredom,almonds
boredom,macaroni
boredom,noodle
boredom,fires
boredom,lasagna
boredom,doritos
boredom,frosted
boredom,nuggs
boredom,watermelon
boredom,stuffed
boredom,peppers
boredom,hamburgers
boredom,salty
boredom,toast
boredom,bar
boredom,protein
boredom,cucumber
boredom,rice
boredom,curry
boredom,wine
anger,chocolate
anger,chips
anger,ice
anger,cream
anger,mac
anger,and
anger,cheese
anger,pasta
anger,tomato
anger,soup
anger,pizza
anger,fritos
anger,meatball
anger,sub
anger,dr
anger,pepper
anger,popcorn
anger,candy
anger,fries
anger,peanut
anger,butter
anger,sandwich
anger,pretzals
anger,garlic
anger,bread
anger,pretzels
anger,fruit
anger,snacks
anger,deli
anger,sandwhich
anger,french
anger,mashed
anger,potatoes
anger,spaghetti
anger,in
anger,mozzarella
anger,sticks
sadness,frozen
sadness,yogurt
sadness,pizza
sadness,fast
sadness,food
sadness,ice
sadness,cream
sadness,cheeseburgers
sadness,chips
sadness,mac
sadness,and
sadness,cheese
sadness,chocolate
sadness,pasta
sadness,soup
sadness,popcorn
sadness,cookies
sadness,crea
sadness,wings
sadness,chinese
sadness,burgers
sadness,chicken
sadness,nuggets
sadness,french
sadness,fries
sadness,cereal
sadness,cookie
sadness,dough
sadness,salt
sadness,vinegar
sadness,candy
sadness,fried
sadness,grapes
sadness,peanut
sadness,butter
sadness,dessets
sadness,pretzels
sadness,macaroons
sadness,truffles
sadness,carrots
sadness,ranch
sadness,dark
sadness,nutella
sadness,coffee
sadness,fruit
sadness,ice cream
sadness,broccoli
sadness,spaghetti
sadness,squash
sadness,quinoa
sadness,grilled
sadness,potato
sadness,noodle
sadness,cake
sadness,mashed
sadness,potatoes
sadness,dishes
sadness,cheesecake
sadness,pancakes
sadness,moes
sadness,sponge
sadness,homemade
sadness,lasagne
sadness,fires
sadness,lasagna
sadness,pop
sadness,milkshakes
sadness,frosted
sadness,brownies
sadness,nuggs
sadness,watermelon
sadness,mozzarella
sadness,sticks
sadness,soda
sadness,brownie
sadness,tikka
sadness,masala
sadness,naan
sadness,salty
sadness,snacks
sadness,toast
sadness,indian
sadness,korean
sadness,wine
sadness,rice
sadness,seaweed
hunger,candy
hunger,brownies
hunger,and
hunger,soda
hunger,pizza
hunger,wings
hunger,chinese
hunger,peruvian
hunger,sushi
hunger,mac
hunger,cheese
hunger,fried
hunger,chicken
hunger,cornbread
hunger,cookies
hunger,steak
hunger,burgers
hunger,noodle
hunger,soup
hunger,ice cream
hunger,doritos
hunger,french
hunger,fries
hunger,indian
hunger,korean
