Name,Boroughs,Cuisine,Address,Phone Number,Website,Rating,Reviews,Price,Category,Features,Lat,Lng,Neighborhood
Fitoor Cafe & Grill Lounge,Queens,"Hookah Bars, Halal, Cafes","179-22 union tpke, flushing, ny 11366",1 718-969-7000,fitoorcafe.mknxonline.com,4.6,956,2,"Hookah Bars, Halal, Cafes","Delivery, Takeout, 
Dine-in, Children",40.7265806,-73.7882865,flushing
Carifesta,Queens,Caribbean,"12615 liberty ave, south richmond hill, ny 11419",1 718-322-2210,carifesta.edan.io,3.7,444,1,Caribbean,"Delivery, Takeout, 
Dine-in, Children",40.6887898,-73.8179396,south richmond hill
Carifesta,Bronx,Caribbean,"4251 white plains rd, bronx, ny 10466",1 718-325-2261,www.carifestarestaurant.com,4.2,174,1,Caribbean,"Delivery, Takeout, 
Dine-in, Children",40.8947879,-73.8568142,bronx
Terry And Yaki Cart,Queens,Japanese,"27-01 queens plaza n, long island city, ny 11101",,,4.6,250,1,Japanese,"Takeout, 
Dine-in,",40.7510021,-73.9402437,long island city
Nur Thai,Queens,Thai ,"63-32 woodhaven blvd, rego park, ny 11374",1 718-255-6141,www.ordernurthai.com,4.3,1205,2,Thai ,"No-contact delivery,
Delivery,
Takeout,
Dine-in",40.72345,-73.8689519,rego park
Momo's Mediterranean Grill,Brooklyn,Mediterranean,"25 101st ave, brooklyn, ny 11208",1 718-552-2270,,4.0,408,2,,"Delivery, Takeout, 
Dine-in, Children",40.6793731,-73.8637847,brooklyn
Nepali Bhanchha Ghar,Queens,Nepalese ,"74-15 roosevelt ave, jackson heights, ny",(718) 255-6657,https://www.bhanchhagharny.com/,3.9,848,1,Nepalese ,"Delivery, Takeout, 
Dine-in",40.7471963,-73.891111,jackson heights
Thai Nara,Queens,Thai ,"64-02 35th ave, woodside, ny 11377",718-606-8842,www.thainarahalal.com,4.6,333,1,Thai,,40.750112,-73.89848,woodside
Big Arc Chicken,Manhattan ,Middle Eastern ,"233 1st ave., new york, ny 10003",1 212-477-0091,www.bigarchicken.com,4.3,528,1,Middle Eastern ,"No-contact delivery,
Delivery,
Takeout,
Dine-in",40.7311919,-73.9829734,new york
Aroma Indian Cuisine,Queens,Indian ,"6340 woodhaven blvd, rego park, ny 11374",7182000010,https://www.orderaromaindian.com/,4.2,467,2,Indian ,"No-contact delivery,
Curbside pickup,
Dine-in",40.7233575,-73.8686657,rego park
Desi Galli,Manhattan ,Indian ,"172 avenue b, new york, ny 10009", 212-475-3374,www.desigalli.com,4.3,283,1,Indian ,"No-contact delivery,
Curbside pickup,
Dine-in",40.7273649,-73.9797204,new york
Desi Galli,Manhattan ,Indian ,"101 lexington ave, new york, ny 10016",2126832292,http://www.desigalli.com/,4.0,370,1,Indian ,"Delivery, Takeout, 
Dine-in",40.7421254,-73.9826276,new york
AwesomeSauce,Queens,,"40-06 astoria blvd s, astoria, ny 11103",7182040275,https://www.instagram.com/awesomesauceastoria,3.9,194,1,,"Delivery, Takeout, 
Dine-in",40.7686913,-73.9106466,astoria
Mahmoud's Corner Halal Food Cart,Queens,,"
34th ave, astoria, ny 11103",917-295-2281,mahmouds34thavecorner.weebly.com,4.5,1063,1,,"Delivery, Takeout, 
Dine-in",40.7568858,-73.9210012,astoria
